
83	6.778	6.778	1.341	0.000	62.6	0.000	-27.8	0.000	-95.4	0
84	7.056	7.056	1.238	0.000	-119.6	0.000	148.9	0.000	106.6	0
85	7.333	7.333	1.146	0.000	164.0	0.000	-107.7	0.000	54.1	0
86	7.611	7.611	1.064	0.000	59.8	0.000	147.8	0.000	3.2	0
87	7.889	7.889	0.990	0.001	-100.4	0.000	170.5	0.000	-36.7	0
88	8.167	8.167	0.924	0.000	-89.2	0.000	2.3	0.000	-58.0	0
89	8.444	8.444	0.864	0.000	115.2	0.000	24.4	0.000	51.7	0
90	8.722	8.722	0.810	0.000	-155.6	0.000	115.7	0.000	-20.8	0
91	9.000	9.000	0.761	0.000	131.7	0.000	-135.7	0.000	-142.2	0

1	0.400	0.400	385.106	1.035	0.6	0.886	90.9	0.643	80.3	20.003
2	0.422	0.422	345.636	1.040	0.5	0.889	90.9	0.657	79.5	22.008
3	0.444	0.444	311.936	1.046	0.5	0.892	90.9	0.673	78.6	24.035
4	0.467	0.467	282.935	1.052	0.4	0.895	90.9	0.690	77.8	26.066
5	0.489	0.489	257.798	1.059	0.2	0.898	90.8	0.707	76.9	28.076
6	0.511	0.511	235.868	1.067	0.1	0.902	90.7	0.725	76.0	30.042
7	0.533	0.533	216.622	1.075	-0.2	0.906	90.6	0.744	75.0	31.936
8	0.556	0.556	199.639	1.084	-0.4	0.909	90.4	0.763	74.1	33.733
9	0.578	0.578	184.578	1.093	-0.8	0.914	90.2	0.784	73.1	35.403
10	0.600	0.600	171.158	1.104	-1.2	0.918	89.9	0.806	72.1	36.919
11	0.654	0.654	144.075	1.133	-2.6	0.929	89.0	0.863	69.7	39.797
12	0.708	0.708	122.945	1.168	-4.6	0.941	87.5	0.928	66.9	41.291
13	0.762	0.762	106.145	1.210	-7.5	0.954	85.5	1.005	63.8	41.262
14	0.816	0.816	92.567	1.260	-11.5	0.966	82.8	1.098	59.9	39.905
15	0.870	0.870	81.437	1.316	-16.9	0.979	79.2	1.219	54.5	37.895
16	0.924	0.924	72.200	1.372	-24.5	0.988	74.5	1.382	46.1	36.42
17	0.978	0.978	64.450	1.395	-35.2	0.991	68.6	1.586	31.5	36.589
18	1.032	1.032	57.884	1.300	-48.0	0.980	61.0	1.670	6.1	36.901
19	1.086	1.086	52.272	1.138	-56.5	0.944	50.9	1.308	-24.6	32.516
20	1.140	1.140	47.439	1.052	-67.9	0.857	37.1	0.814	-45.4	25.559
21	1.194	1.194	43.246	0.830	-87.7	0.685	18.8	0.490	-56.4	18.99
22	1.248	1.248	39.586	0.465	-107.7	0.421	-2.7	0.297	-61.9	15.598
23	1.302	1.302	36.371	0.144	-116.4	0.156	-19.5	0.181	-63.4	15.345
24	1.356	1.356	33.532	0.076	5.5	0.031	81.4	0.115	-62.0	14.555
25	1.410	1.410	31.014	0.166	12.7	0.093	107.0	0.076	-59.5	13.494
26	1.463	1.463	28.769	0.190	7.4	0.102	100.7	0.050	-57.0	12.111
27	1.517	1.517	26.759	0.175	1.2	0.085	93.5	0.031	-54.7	10.383
28	1.571	1.571	24.952	0.141	-4.5	0.060	87.3	0.016	-52.1	8.768
29	1.625	1.625	23.323	0.102	-8.2	0.036	83.5	0.005	-43.3	7.559
30	1.679	1.679	21.848	0.064	-6.6	0.019	85.4	0.003	100.4	6.603
31	1.733	1.733	20.509	0.035	9.0	0.008	101.7	0.008	108.6	5.789
32	1.787	1.787	19.289	0.023	49.3	0.004	141.2	0.010	104.5	5.122
33	1.841	1.841	18.175	0.025	78.8	0.003	168.9	0.009	97.4	4.516
34	1.895	1.895	17.154	0.024	88.3	0.001	177.7	0.007	87.6	3.871
35	1.949	1.949	16.218	0.017	93.0	0.000	1.8	0.005	75.2	3.222
36	2.003	2.003	15.355	0.007	113.1	0.000	20.1	0.003	58.7	2.671
37	2.057	2.057	14.560	0.007	-155.0	0.001	116.0	0.001	7.7	2.167
38	2.111	2.111	13.825	0.012	-144.0	0.002	126.8	0.001	-107.5	1.78
39	2.165	2.165	13.145	0.014	-154.1	0.003	116.7	0.002	-125.5	1.481
40	2.219	2.219	12.513	0.013	-170.9	0.003	100.2	0.002	-135.4	1.227
41	2.273	2.273	11.926	0.008	166.7	0.002	77.9	0.001	-144.2	0.972
42	2.327	2.327	11.379	0.003	109.6	0.001	20.4	0.000	-147.1	0.737
43	2.381	2.381	10.869	0.006	14.9	0.001	-75.3	0.000	-2.8	0.593
44	2.435	2.435	10.393	0.008	-10.4	0.002	-100.6	0.000	-29.5	0.481
45	2.489	2.489	9.947	0.007	-30.0	0.001	-120.5	0.000	-57.1	0.383
46	2.543	2.543	9.529	0.004	-66.4	0.000	-156.7	0.000	-85.6	0.286
47	2.597	2.597	9.137	0.002	-141.1	0.000	127.3	0.000	130.0	0.222
48	2.651	2.651	8.769	0.002	151.7	0.000	58.8	0.000	104.6	0.192
49	2.705	2.705	8.423	0.003	93.6	0.000	3.2	0.000	85.8	0.149
50	2.759	2.759	8.096	0.002	66.5	0.000	155.4	0.000	30.4	0.106
51	2.813	2.813	7.789	0.000	49.2	0.000	123.6	0.000	-39.0	0.084
52	2.867	2.867	7.498	0.002	-131.1	0.000	-39.2	0.000	-85.0	0.064
53	2.921	2.921	7.223	0.002	-146.1	0.000	-56.4	0.000	-153.9	0.052
54	2.975	2.975	6.964	0.001	124.7	0.000	-140.5	0.000	176.4	0.041
55	3.029	3.029	6.718	0.001	63.7	0.000	154.6	0.000	131.3	0.023
56	3.083	3.083	6.485	0.001	4.1	0.000	94.6	0.000	13.6	0.023
57	3.137	3.137	6.263	0.001	-64.5	0.000	26.9	0.000	4.6	0.016
58	3.190	3.190	6.053	0.001	-93.0	0.000	-3.7	0.000	-155.6	0.01
59	3.244	3.244	5.854	0.001	158.7	0.000	-110.3	0.000	-167.4	0.009
60	3.298	3.298	5.664	0.001	123.8	0.000	-147.1	0.000	35.5	0.006
61	3.352	3.352	5.483	0.000	73.5	0.000	-19.6	0.000	25.2	0.007
62	3.406	3.406	5.310	0.001	-19.9	0.000	-110.8	0.000	-91.8	0.003
63	3.460	3.460	5.146	0.000	-35.6	0.000	-132.8	0.000	-131.2	0.005
64	3.514	3.514	4.989	0.000	172.8	0.000	83.3	0.000	-173.0	0.003
65	3.568	3.568	4.839	0.000	-168.4	0.000	92.4	0.000	85.3	0.003
66	3.622	3.622	4.696	0.000	-18.6	0.000	-105.5	0.000	68.5	0.002
67	3.676	3.676	4.559	0.000	-2.8	0.000	-102.3	0.000	-61.6	0.002
68	3.730	3.730	4.428	0.000	179.5	0.000	91.5	0.000	-61.2	0.001
69	3.784	3.784	4.303	0.000	178.0	0.000	86.6	0.000	134.0	0.001
70	3.838	3.838	4.183	0.000	27.1	0.000	-62.0	0.000	-177.7	0.001
71	3.892	3.892	4.068	0.000	32.9	0.000	121.0	0.000	-94.6	0
72	3.946	3.946	3.957	0.000	-111.1	0.000	-20.4	0.000	52.7	0
73	4.000	4.000	3.851	0.000	-72.4	0.000	18.4	0.000	93.8	0
74	4.278	4.278	3.367	0.000	-121.5	0.000	-28.6	0.000	-63.7	0
75	4.556	4.556	2.969	0.000	100.2	0.000	14.6	0.000	175.3	0.001
76	4.833	4.833	2.638	0.000	-21.5	0.000	69.5	0.000	44.3	0
77	5.111	5.111	2.359	0.001	-163.7	0.000	104.4	0.000	139.7	0.001
78	5.389	5.389	2.122	0.001	-54.5	0.000	-143.3	0.000	-37.2	0.002
79	5.667	5.667	1.919	0.014	-143.2	0.000	-54.0	0.000	122.9	0.04
80	5.944	5.944	1.744	0.001	-9.1	0.000	-100.2	0.000	-36.0	0
81	6.222	6.222	1.592	0.000	58.1	0.000	146.4	0.000	-10.1	0
82	6.500	6.500	1.458	0.000	154.6	0.000	56.9	0.000	36.4	0
83	6.778	6.778	1.341	0.000	71.5	0.000	160.6	0.000	-60.8	0
84	7.056	7.056	1.238	0.000	-120.3	0.000	147.9	0.000	118.0	0
85	7.333	7.333	1.146	0.000	165.7	0.000	-106.1	0.000	57.3	0
86	7.611	7.611	1.064	0.000	60.9	0.000	-31.2	0.000	0.9	0
87	7.889	7.889	0.990	0.001	-99.9	0.000	-9.0	0.000	-36.0	0
88	8.167	8.167	0.924	0.000	-84.8	0.000	-173.7	0.000	-60.2	0
89	8.444	8.444	0.864	0.000	116.1	0.000	25.1	0.000	40.9	0
90	8.722	8.722	0.810	0.000	-144.6	0.000	-53.4	0.000	-16.6	0
91	9.000	9.000	0.761	0.000	127.2	0.000	41.6	0.000	-161.0	0

1	0.400	0.400	385.106	1.044	0.7	1.032	90.8	0.105	40.5	20.158
2	0.436	0.436	324.798	1.057	0.6	1.042	90.7	0.120	39.8	23.49
3	0.471	0.471	277.622	1.074	0.5	1.054	90.6	0.136	38.9	26.899
4	0.507	0.507	240.025	1.095	0.2	1.069	90.4	0.152	37.9	30.3
5	0.542	0.542	209.578	1.119	-0.2	1.087	90.0	0.169	36.8	33.591
6	0.578	0.578	184.578	1.149	-0.8	1.108	89.5	0.186	35.5	36.654
7	0.613	0.613	163.798	1.184	-1.6	1.133	88.8	0.202	34.2	39.352
8	0.649	0.649	146.339	1.226	-2.7	1.163	87.9	0.218	32.6	41.532
9	0.684	0.684	131.530	1.277	-4.0	1.198	86.7	0.232	30.9	43.022
10	0.720	0.720	118.860	1.336	-5.6	1.238	85.2	0.246	28.8	43.638
11	0.772	0.772	103.370	1.444	-8.6	1.310	82.6	0.261	25.0	42.554
12	0.824	0.824	90.722	1.583	-12.3	1.398	79.3	0.271	19.7	38.556
13	0.876	0.876	80.261	1.762	-17.0	1.506	75.2	0.272	12.2	31.149
14	0.928	0.928	71.510	1.990	-22.6	1.637	70.2	0.257	0.5	20.855
15	0.980	0.980	64.116	2.284	-29.6	1.794	64.2	0.210	-18.6	21.053
16	1.032	1.032	57.812	2.674	-38.5	1.976	56.7	0.106	-47.6	38.23
17	1.084	1.084	52.395	3.154	-51.3	2.177	47.1	0.029	58.3	56.295
18	1.137	1.137	47.704	3.567	-69.1	2.366	34.3	0.085	39.5	70.479
19	1.189	1.189	43.616	3.638	-91.0	2.449	17.3	0.075	9.3	70.625
20	1.241	1.241	40.032	3.205	-112.9	2.276	-3.3	0.043	-15.9	54.051
21	1.293	1.293	36.873	2.512	-130.8	1.820	-24.6	0.019	-17.6	33.497
22	1.345	1.345	34.073	1.874	-143.2	1.285	-41.5	0.012	-5.8	23.187
23	1.397	1.397	31.580	1.407	-151.1	0.864	-53.0	0.012	-18.8	21.911
24	1.449	1.449	29.352	1.089	-155.9	0.578	-60.2	0.013	-40.1	20.926
25	1.501	1.501	27.351	0.873	-158.9	0.389	-64.8	0.014	-58.4	18.219
26	1.553	1.553	25.548	0.723	-161.0	0.261	-67.9	0.012	-76.2	14.384
27	1.605	1.605	23.917	0.610	-162.9	0.169	-70.6	0.010	-97.9	10.678
28	1.657	1.657	22.438	0.519	-165.3	0.102	-73.5	0.008	-125.3	9.138
29	1.709	1.709	21.092	0.442	-168.3	0.053	-77.0	0.007	-152.5	8.91
30	1.761	1.761	19.863	0.374	-171.9	0.018	-80.8	0.006	-176.9	7.864
31	1.813	1.813	18.739	0.313	-175.2	0.006	95.6	0.004	157.4	6.21
32	1.865	1.865	17.708	0.258	-177.8	0.020	92.8	0.003	123.3	4.876
33	1.917	1.917	16.759	0.211	-178.9	0.028	91.7	0.002	73.8	4.307
34	1.970	1.970	15.885	0.174	-177.8	0.030	92.7	0.002	27.8	3.791
35	2.022	2.022	15.077	0.146	-175.2	0.030	95.3	0.002	-10.1	3.079
